GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,Description,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,IsInterception,IsFumble,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2016091105,2016-09-11,2,1,26,NO,OAK,4,4,53,"(1:26) (PUNT FORMATION) PENALTY ON NO-6-T.MORSTEAD, DELAY OF GAME, 5 YARDS, ENFORCED AT OAK 47 - NO PLAY.",0,UNDER CENTER,PUNT,0,0,0,0,,0,0,0,0,0,0,0,,47,OPP,1,NO,1,DELAY OF GAME,5
2016091105,2016-09-11,3,11,37,NO,OAK,4,5,15,"(11:37) 6-T.MORSTEAD PUNTS 51 YARDS TO OAK 34, CENTER-47-J.DRESCHER. 30-J.RICHARD PUSHED OB AT NO 40 FOR 26 YARDS (36-D.LASCO). PENALTY ON OAK-41-B.TRAWICK, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT OAK 40. INJURY UPDATE - NO #40 D.BREAUX, LEG, PROBABLE.",0,PUNT,PUNT,0,0,0,0,,0,0,0,0,0,0,0,,15,OWN,1,OAK,0,OFFENSIVE HOLDING,10
2016091107,2016-09-11,1,13,46,PHI,CLE,3,3,32,"(13:46) (SHOTGUN) PENALTY ON CLE-96-X.COOPER, NEUTRAL ZONE INFRACTION, 5 YARDS, ENFORCED AT PHI 32 - NO PLAY.",0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,0,0,0,0,,32,OWN,1,CLE,1,NEUTRAL ZONE INFRACTION,5
2016112710,2016-11-27,2,6,59,OAK,CAR,3,5,95,"(6:59) (SHOTGUN) 4-D.CARR PASS INCOMPLETE SHORT MIDDLE TO 89-A.COOPER (26-D.WORLEY). PENALTY ON OAK-77-A.HOWARD, OFFENSIVE HOLDING, DECLINED.",0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,0,0,0,0,,5,OPP,0,OAK,0,OFFENSIVE HOLDING,0
2016091109,2016-09-11,3,4,58,MIA,SEA,1,10,31,"(4:58) 29-A.FOSTER RIGHT END PUSHED OB AT MIA 33 FOR 2 YARDS (93-T.MCDANIEL; 31-K.CHANCELLOR). PENALTY ON SEA-31-K.CHANCELLOR, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED AT MIA 33.",2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,0,0,RIGHT END,31,OWN,1,SEA,0,UNNECESSARY ROUGHNESS,15
2016091801,2016-09-18,4,8,50,CLE,BAL,3,19,35,"(8:50) (SHOTGUN) 13-J.MCCOWN PASS DEEP RIGHT TO 81-R.HIGGINS TO BAL 40 FOR 25 YARDS (21-L.WEBB). PENALTY ON CLE-74-C.ERVING, INELIGIBLE DOWNFIELD PASS, 5 YARDS, ENFORCED AT CLE 35 - NO PLAY. BALL DEFLECTED OFF OF CLE #11 AND RECEIVED BY CLE #81.",25,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,0,0,0,0,,35,OWN,1,CLE,1,INELIGIBLE DOWNFIELD PASS,5
2016091802,2016-09-18,3,5,12,DET,TEN,2,9,54,"(5:12) (NO HUDDLE, SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT MIDDLE TO 15-G.TATE. PENALTY ON TEN-20-P.COX, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT TEN 46 - NO PLAY.",0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,0,0,0,0,,46,OPP,1,TEN,1,DEFENSIVE HOLDING,5
2016091802,2016-09-18,3,2,32,DET,TEN,2,9,80,"(2:32) (NO HUDDLE, SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT LEFT TO 11-M.JONES. PENALTY ON TEN-51-D.BASS, ROUGHING THE PASSER, 10 YARDS, ENFORCED AT TEN 20 - NO PLAY.",0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,0,0,0,0,,20,OPP,1,TEN,1,ROUGHING THE PASSER,10
2016091803,2016-09-18,4,1,18,KC,HOU,2,10,85,"(1:18) (SHOTGUN) PENALTY ON KC-71-M.SCHWARTZ, FALSE START, 5 YARDS, ENFORCED AT HOU 15 - NO PLAY.",0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,0,0,0,0,,15,OPP,1,KC,1,FALSE START,5
2016091804,2016-09-18,4,12,33,NE,MIA,2,5,65,"(12:33) (SHOTGUN) 7-J.BRISSETT SCRAMBLES LEFT END TO MIA 28 FOR 7 YARDS. PENALTY ON NE-62-J.THUNEY, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT MIA 35 - NO PLAY.",7,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,0,0,0,0,,35,OPP,1,NE,1,OFFENSIVE HOLDING,10
